Site,Survey,Interval,Species,Year,Total
Bryson_2B_9,1,1,AMCR,B,1
Bryson_2B_9,1,1,INBU,B,1
Bryson_2B_9,1,1,EAWP,B,1
Bryson_2B_9,1,1,PIWA,B,1
Bryson_2B_9,1,1,CAWR,B,1
Bryson_2B_9,1,2,SUTA,B,1
Bryson_2B_9,1,2,EATO,B,1
Bryson_2B_9,1,2,EAWP,B,1
Bryson_2B_9,1,2,TUTI,B,1
Bryson_2B_9,1,2,AMCR,B,1
Bryson_2B_9,1,2,NOCA,B,1
Bryson_2B_9,1,2,PIWA,B,1
Bryson_2B_9,1,2,INBU,B,1
Bryson_2B_9,1,2,CAWR,B,1
Bryson_2B_9,1,3,PIWA,B,1
Bryson_2B_9,1,3,SUTA,B,1
Bryson_2B_9,1,3,EAWP,B,1
Bryson_2B_9,1,3,EATO,B,1
Bryson_2B_9,1,3,TUTI,B,1
Bryson_2B_9,1,3,AMCR,B,1
Bryson_2B_9,1,3,INBU,B,1
Bryson_2B_9,1,3,BLJA,B,1
Bryson_2B_9,1,3,NOCA,B,1
Bryson_2B_9,1,3,CAWR,B,1
Bryson_2B_9,1,4,TUTI,B,1
Bryson_2B_9,1,4,EATO,B,1
Bryson_2B_9,1,4,EAWP,B,1
Bryson_2B_9,1,4,CAWR,B,1
Bryson_2B_9,1,4,INBU,B,1
Bryson_2B_9,1,4,PIWA,B,1
Bryson_2B_9,1,4,SUTA,B,1
Bryson_2B_9,1,4,AMCR,B,1
Bryson_2B_9,1,4,MODO,B,1
Bryson_2B_9,1,4,NOCA,B,1
Bryson_2B_9,1,4,BLJA,B,1
Bryson_2B_9,1,4,YBCH,B,1
Burnett_1B_5,1,1,TUTI,B,1
Burnett_1B_5,1,1,EATO,B,1
Burnett_1B_5,1,1,INBU,B,1
Burnett_1B_5,1,1,PIWA,B,1
Burnett_1B_5,1,1,SUTA,B,1
Burnett_1B_5,1,1,CACH,B,1
Burnett_1B_5,1,1,AMGO,B,1
Burnett_1B_5,1,1,NOCA,B,1
Burnett_1B_5,1,1,RBWO,B,1
Burnett_1B_5,1,2,NOCA,B,1
Burnett_1B_5,1,2,PIWA,B,1
Burnett_1B_5,1,2,TUTI,B,1
Burnett_1B_5,1,2,SUTA,B,1
Burnett_1B_5,1,2,AMCR,B,1
Burnett_1B_5,1,2,EATO,B,1
Burnett_1B_5,1,2,CACH,B,1
Burnett_1B_5,1,2,YBCU,B,1
Burnett_1B_5,1,3,PIWA,B,1
Burnett_1B_5,1,3,RBWO,B,1
Burnett_1B_5,1,3,SUTA,B,1
Burnett_1B_5,1,3,NOCA,B,1
Burnett_1B_5,1,3,TUTI,B,1
Burnett_1B_5,1,3,BHNU,B,1
Burnett_1B_5,1,3,EATO,B,1
Burnett_1B_5,1,3,CACH,B,1
Burnett_1B_5,1,3,MODO,B,1
Burnett_1B_5,1,4,TUTI,B,1
Burnett_1B_5,1,4,EATO,B,1
Burnett_1B_5,1,4,NOCA,B,1
Burnett_1B_5,1,4,PIWA,B,1
Burnett_1B_5,1,4,AMCR,B,1
Burnett_1B_5,1,4,SUTA,B,1
Burnett_1B_5,1,4,CACH,B,1
Burnett_1B_5,1,4,BAWW,B,1
Burnett_1B_5,1,4,RBWO,B,1
Mills_1B_45,1,1,CAWR,B,1
Mills_1B_45,1,1,NOCA,B,1
Mills_1B_45,1,1,CACH,B,1
Mills_1B_45,1,1,MODO,B,1
Mills_1B_45,1,1,RBWO,B,1
Mills_1B_45,1,1,ACFL,B,1
Mills_1B_45,1,1,INBU,B,1
Mills_1B_45,1,1,BHNU,B,1
Mills_1B_45,1,1,EAWP,B,1
Mills_1B_45,1,2,CAWR,B,1
Mills_1B_45,1,2,NOCA,B,1
Mills_1B_45,1,2,EAWP,B,1
Mills_1B_45,1,2,CACH,B,1
Mills_1B_45,1,2,RBWO,B,1
Mills_1B_45,1,2,INBU,B,1
Mills_1B_45,1,2,PIWA,B,1
Mills_1B_45,1,2,TUTI,B,1
Mills_1B_45,1,2,MODO,B,1
Mills_1B_45,1,2,BGGN,B,1
Mills_1B_45,1,2,ACFL,B,1
Mills_1B_45,1,2,HOWA,B,1
Mills_1B_45,1,3,CACH,B,1
Mills_1B_45,1,3,NOCA,B,1
Mills_1B_45,1,3,CAWR,B,1
Mills_1B_45,1,3,PIWA,B,1
Mills_1B_45,1,3,EAWP,B,1
Mills_1B_45,1,3,RBWO,B,1
Mills_1B_45,1,3,INBU,B,1
Mills_1B_45,1,3,BGGN,B,1
Mills_1B_45,1,3,AMCR,B,1
Mills_1B_45,1,3,ACFL,B,1
Mills_1B_45,1,4,CAWR,B,1
Mills_1B_45,1,4,INBU,B,1
Mills_1B_45,1,4,ACFL,B,1
Mills_1B_45,1,4,BGGN,B,1
Mills_1B_45,1,4,CACH,B,1
Mills_1B_45,1,4,EAWP,B,1
Mills_1B_45,1,4,AMCR,B,1
Mills_1B_45,1,4,NOCA,B,1
Mills_1B_45,1,4,NOWA,B,1
Mills_1B_45,1,4,TUTI,B,1
Mills_1B_45,1,4,MODO,B,1
Mills_1B_45,1,4,SUTA,B,1
Mills_1B_45,1,4,RBWO,B,1
Mills_1B_45,1,4,PIWA,B,1
Shealy_2B_3,1,1,PIWA,B,1
Shealy_2B_3,1,1,TUTI,B,1
Shealy_2B_3,1,1,YBCU,B,1
Shealy_2B_3,1,1,AMCR,B,1
Shealy_2B_3,1,1,EAWP,B,1
Shealy_2B_3,1,1,RBWO,B,1
Shealy_2B_3,1,1,NOBO,B,1
Shealy_2B_3,1,1,MODO,B,1
Shealy_2B_3,1,1,BHNU,B,1
Shealy_2B_3,1,1,CACH,B,1
Shealy_2B_3,1,1,BHCO,B,1
Shealy_2B_3,1,1,NOCA,B,1
Shealy_2B_3,1,2,CACH,B,1
Shealy_2B_3,1,2,NOCA,B,1
Shealy_2B_3,1,2,PIWA,B,1
Shealy_2B_3,1,2,NOBO,B,1
Shealy_2B_3,1,2,YBCU,B,1
Shealy_2B_3,1,2,BLJA,B,1
Shealy_2B_3,1,2,CAGO,B,1
Shealy_2B_3,1,2,EAWP,B,1
Shealy_2B_3,1,2,AMCR,B,1
Shealy_2B_3,1,2,TUTI,B,1
Shealy_2B_3,1,3,EAWP,B,1
Shealy_2B_3,1,3,PIWA,B,1
Shealy_2B_3,1,3,NOCA,B,1
Shealy_2B_3,1,3,BLJA,B,1
Shealy_2B_3,1,3,CAGO,B,1
Shealy_2B_3,1,3,YBCU,B,1
Shealy_2B_3,1,3,CACH,B,1
Shealy_2B_3,1,3,EATO,B,1
Shealy_2B_3,1,3,TUTI,B,1
Shealy_2B_3,1,3,RBWO,B,1
Shealy_2B_3,1,3,AMCR,B,1
Shealy_2B_3,1,3,MODO,B,1
Shealy_2B_3,1,4,AMCR,B,1
Shealy_2B_3,1,4,SUTA,B,1
Shealy_2B_3,1,4,TUTI,B,1
Shealy_2B_3,1,4,EAWP,B,1
Shealy_2B_3,1,4,MODO,B,1
Shealy_2B_3,1,4,CACH,B,1
Shealy_2B_3,1,4,YBCU,B,1
Shealy_2B_3,1,4,PIWA,B,1
Shealy_2B_3,1,4,AMGO,B,1
Shealy_2B_3,1,4,YBCH,B,1
Shealy_2B_3,1,4,BLJA,B,1
Shealy_2B_3,1,4,RBWO,B,1
Kemp_1B_1,1,1,TUTI,B,1
Kemp_1B_1,1,1,NOCA,B,1
Kemp_1B_1,1,1,AMGO,B,1
Kemp_1B_1,1,1,SUTA,B,1
Kemp_1B_1,1,1,WHIP,B,1
Kemp_1B_1,1,1,INBU,B,1
Kemp_1B_1,1,1,MODO,B,1
Kemp_1B_1,1,1,WITU,B,1
Kemp_1B_1,1,2,MODO,B,1
Kemp_1B_1,1,2,TUTI,B,1
Kemp_1B_1,1,2,NOCA,B,1
Kemp_1B_1,1,2,INBU,B,1
Kemp_1B_1,1,2,WHIP,B,1
Kemp_1B_1,1,2,PIWA,B,1
Kemp_1B_1,1,2,CAWR,B,1
Kemp_1B_1,1,2,AMGO,B,1
Kemp_1B_1,1,3,NOCA,B,1
Kemp_1B_1,1,3,TUTI,B,1
Kemp_1B_1,1,3,CAWR,B,1
Kemp_1B_1,1,3,INBU,B,1
Kemp_1B_1,1,3,PIWA,B,1
Kemp_1B_1,1,3,EABL,B,1
Kemp_1B_1,1,3,MODO,B,1
Kemp_1B_1,1,3,YBCU,B,1
Kemp_1B_1,1,3,AMGO,B,1
Kemp_1B_1,1,4,YBCU,B,1
Kemp_1B_1,1,4,TUTI,B,1
Kemp_1B_1,1,4,MODO,B,1
Kemp_1B_1,1,4,EABL,B,1
Kemp_1B_1,1,4,INBU,B,1
Kemp_1B_1,1,4,BLJA,B,1
Kemp_1B_1,1,4,CAWR,B,1
Kemp_1B_1,1,4,AMGO,B,1
Kemp_1B_1,1,4,SUTA,B,1
Kemp_1B_1,1,4,NOCA,B,1
Kemp_1B_1,1,4,PIWA,B,1
Kemp_1B_1,1,4,AMCR,B,1
Mills_0B_9,1,1,MODO,B,1
Mills_0B_9,1,1,SUTA,B,1
Mills_0B_9,1,1,GCFL,B,1
Mills_0B_9,1,1,PIWA,B,1
Mills_0B_9,1,1,RBWO,B,1
Mills_0B_9,1,1,AMCR,B,1
Mills_0B_9,1,2,SUTA,B,1
Mills_0B_9,1,2,MODO,B,1
Mills_0B_9,1,2,AMCR,B,1
Mills_0B_9,1,2,PIWA,B,1
Mills_0B_9,1,2,GCFL,B,1
Mills_0B_9,1,2,YBCU,B,1
Mills_0B_9,1,3,SUTA,B,1
Mills_0B_9,1,3,MODO,B,1
Mills_0B_9,1,3,AMCR,B,1
Mills_0B_9,1,3,RBWO,B,1
Mills_0B_9,1,3,PIWA,B,1
Mills_0B_9,1,3,CAWR,B,1
Mills_0B_9,1,4,CAWR,B,1
Mills_0B_9,1,4,SUTA,B,1
Mills_0B_9,1,4,AMCR,B,1
Mills_0B_9,1,4,MODO,B,1
Mills_0B_9,1,4,PIWA,B,1
Mills_0B_9,1,4,RBWO,B,1
Mills_0B_9,1,4,YBCU,B,1
Mills_0B_9,1,4,CACH,B,1
Timberhaven_2B_1,1,1,AMCR,B,1
Timberhaven_2B_1,1,1,INBU,B,1
Timberhaven_2B_1,1,1,RBWO,B,1
Timberhaven_2B_1,1,1,YBCH,B,1
Timberhaven_2B_1,1,1,NOCA,B,1
Timberhaven_2B_1,1,1,WOTH,B,1
Timberhaven_2B_1,1,1,TUTI,B,1
Timberhaven_2B_1,1,1,SUTA,B,1
Timberhaven_2B_1,1,1,AMGO,B,1
Timberhaven_2B_1,1,1,MODO,B,1
Timberhaven_2B_1,1,2,INBU,B,1
Timberhaven_2B_1,1,2,AMGO,B,1
Timberhaven_2B_1,1,2,YBCH,B,1
Timberhaven_2B_1,1,2,WOTH,B,1
Timberhaven_2B_1,1,2,CAGO,B,1
Timberhaven_2B_1,1,2,AMCR,B,1
Timberhaven_2B_1,1,2,SUTA,B,1
Timberhaven_2B_1,1,2,MODO,B,1
Timberhaven_2B_1,1,2,RBWO,B,1
Timberhaven_2B_1,1,2,TUTI,B,1
Timberhaven_2B_1,1,3,MODO,B,1
Timberhaven_2B_1,1,3,TUTI,B,1
Timberhaven_2B_1,1,3,WOTH,B,1
Timberhaven_2B_1,1,3,PIWA,B,1
Timberhaven_2B_1,1,3,YBCH,B,1
Timberhaven_2B_1,1,3,AMCR,B,1
Timberhaven_2B_1,1,3,CAWR,B,1
Timberhaven_2B_1,1,3,CAGO,B,1
Timberhaven_2B_1,1,3,SUTA,B,1
Timberhaven_2B_1,1,3,RBWO,B,1
Timberhaven_2B_1,1,3,NOCA,B,1
Timberhaven_2B_1,1,4,CAGO,B,1
Timberhaven_2B_1,1,4,PIWA,B,1
Timberhaven_2B_1,1,4,SUTA,B,1
Timberhaven_2B_1,1,4,TUTI,B,1
Timberhaven_2B_1,1,4,YBCH,B,1
Timberhaven_2B_1,1,4,AMCR,B,1
Timberhaven_2B_1,1,4,RBWO,B,1
Timberhaven_2B_1,1,4,NOCA,B,1
Timberhaven_2B_1,1,4,WOTH,B,1
Timberhaven_2B_1,1,4,BLJA,B,1
Timberhaven_2B_1,1,4,MODO,B,1
Shealy_1B_E_S,1,1,MODO,B,1
Shealy_1B_E_S,1,1,SUTA,B,1
Shealy_1B_E_S,1,1,EATO,B,1
Shealy_1B_E_S,1,1,BGGN,B,1
Shealy_1B_E_S,1,1,NOCA,B,1
Shealy_1B_E_S,1,1,INBU,B,1
Shealy_1B_E_S,1,1,COYE,B,1
Shealy_1B_E_S,1,1,AMCR,B,1
Shealy_1B_E_S,1,2,AMCR,B,1
Shealy_1B_E_S,1,2,PIWA,B,1
Shealy_1B_E_S,1,2,SUTA,B,1
Shealy_1B_E_S,1,2,EATO,B,1
Shealy_1B_E_S,1,2,YBCH,B,1
Shealy_1B_E_S,1,2,MODO,B,1
Shealy_1B_E_S,1,2,COYE,B,1
Shealy_1B_E_S,1,2,CAWR,B,1
Shealy_1B_E_S,1,2,BLJA,B,1
Shealy_1B_E_S,1,2,WOTH,B,1
Shealy_1B_E_S,1,3,AMCR,B,1
Shealy_1B_E_S,1,3,WOTH,B,1
Shealy_1B_E_S,1,3,EATO,B,1
Shealy_1B_E_S,1,3,SUTA,B,1
Shealy_1B_E_S,1,3,BGGN,B,1
Shealy_1B_E_S,1,3,PIWO,B,1
Shealy_1B_E_S,1,3,RSHA,B,1
Shealy_1B_E_S,1,3,YBCH,B,1
Shealy_1B_E_S,1,3,YBCU,B,1
Shealy_1B_E_S,1,3,MODO,B,1
Shealy_1B_E_S,1,4,RSHA,B,1
Shealy_1B_E_S,1,4,WOTH,B,1
Shealy_1B_E_S,1,4,YBCH,B,1
Shealy_1B_E_S,1,4,AMCR,B,1
Shealy_1B_E_S,1,4,SUTA,B,1
Shealy_1B_E_S,1,4,INBU,B,1
Shealy_1B_E_S,1,4,MODO,B,1
Shealy_1B_E_S,1,4,NOCA,B,1
Shealy_1B_E_S,1,4,PIWA,B,1
Swanson_3B_2,1,1,EATO,B,1
Swanson_3B_2,1,1,RBWO,B,1
Swanson_3B_2,1,1,WOTH,B,1
Swanson_3B_2,1,1,EAWP,B,1
Swanson_3B_2,1,1,CAWR,B,1
Swanson_3B_2,1,1,NOCA,B,1
Swanson_3B_2,1,1,TUTI,B,1
Swanson_3B_2,1,1,YTWA,B,1
Swanson_3B_2,1,1,YBCH,B,1
Swanson_3B_2,1,1,AMCR,B,1
Swanson_3B_2,1,1,PIWA,B,1
Swanson_3B_2,1,2,NOCA,B,1
Swanson_3B_2,1,2,YTWA,B,1
Swanson_3B_2,1,2,EATO,B,1
Swanson_3B_2,1,2,RBWO,B,1
Swanson_3B_2,1,2,YBCH,B,1
Swanson_3B_2,1,2,EAWP,B,1
Swanson_3B_2,1,2,TUTI,B,1
Swanson_3B_2,1,2,AMCR,B,1
Swanson_3B_2,1,2,SUTA,B,1
Swanson_3B_2,1,3,AMCR,B,1
Swanson_3B_2,1,3,EAWP,B,1
Swanson_3B_2,1,3,BHNU,B,1
Swanson_3B_2,1,3,CAWR,B,1
Swanson_3B_2,1,3,PIWA,B,1
Swanson_3B_2,1,3,YBCH,B,1
Swanson_3B_2,1,3,RBWO,B,1
Swanson_3B_2,1,3,NOCA,B,1
Swanson_3B_2,1,3,EATO,B,1
Swanson_3B_2,1,4,CAWR,B,1
Swanson_3B_2,1,4,YBCH,B,1
Swanson_3B_2,1,4,EAWP,B,1
Swanson_3B_2,1,4,NOCA,B,1
Swanson_3B_2,1,4,AMCR,B,1
Swanson_3B_2,1,4,EATO,B,1
Swanson_3B_2,1,4,TUTI,B,1
Swanson_3B_2,1,4,PRWA,B,1
Swanson_3B_2,1,4,SUTA,B,1
Blease_3B_6,1,1,TUTI,B,1
Blease_3B_6,1,1,NOCA,B,1
Blease_3B_6,1,1,PIWA,B,1
Blease_3B_6,1,1,INBU,B,1
Blease_3B_6,1,1,AMCR,B,1
Blease_3B_6,1,1,SUTA,B,1
Blease_3B_6,1,1,CAWR,B,1
Blease_3B_6,1,1,YBCH,B,1
Blease_3B_6,1,2,TUTI,B,1
Blease_3B_6,1,2,AMCR,B,1
Blease_3B_6,1,2,PIWA,B,1
Blease_3B_6,1,2,INBU,B,1
Blease_3B_6,1,2,NOCA,B,1
Blease_3B_6,1,2,YBCH,B,1
Blease_3B_6,1,2,SUTA,B,1
Blease_3B_6,1,2,EATO,B,1
Blease_3B_6,1,2,BHNU,B,1
Blease_3B_6,1,2,YTWA,B,1
Blease_3B_6,1,3,EATO,B,1
Blease_3B_6,1,3,INBU,B,1
Blease_3B_6,1,3,BHNU,B,1
Blease_3B_6,1,3,TUTI,B,1
Blease_3B_6,1,3,YBCH,B,1
Blease_3B_6,1,3,YTWA,B,1
Blease_3B_6,1,3,PIWA,B,1
Blease_3B_6,1,3,NOCA,B,1
Blease_3B_6,1,3,AMGO,B,1
Blease_3B_6,1,3,EAWP,B,1
Blease_3B_6,1,3,ACFL,B,1
Blease_3B_6,1,3,MODO,B,1
Blease_3B_6,1,3,SUTA,B,1
Blease_3B_6,1,4,NOCA,B,1
Blease_3B_6,1,4,EAWP,B,1
Blease_3B_6,1,4,CAWR,B,1
Blease_3B_6,1,4,INBU,B,1
Blease_3B_6,1,4,SUTA,B,1
Blease_3B_6,1,4,MODO,B,1
Blease_3B_6,1,4,YTWA,B,1
Blease_3B_6,1,4,ACFL,B,1
Blease_3B_6,1,4,TUTI,B,1
Blease_3B_6,1,4,AMCR,B,1
Blease_3B_6,1,4,AMGO,B,1
Blease_3B_6,1,4,EATO,B,1
Shealy_1B_3B,1,1,PIWA,B,1
Shealy_1B_3B,1,1,SUTA,B,1
Shealy_1B_3B,1,1,YBCH,B,1
Shealy_1B_3B,1,1,WOTH,B,1
Shealy_1B_3B,1,1,INBU,B,1
Shealy_1B_3B,1,1,SUTA,B,1
Shealy_1B_3B,1,1,PIWO,B,1
Shealy_1B_3B,1,1,NOCA,B,1
Shealy_1B_3B,1,1,BHCO,B,1
Shealy_1B_3B,1,2,EATO,B,1
Shealy_1B_3B,1,2,NOCA,B,1
Shealy_1B_3B,1,2,PIWA,B,1
Shealy_1B_3B,1,2,YBCH,B,1
Shealy_1B_3B,1,2,WOTH,B,1
Shealy_1B_3B,1,2,SUTA,B,1
Shealy_1B_3B,1,2,INBU,B,1
Shealy_1B_3B,1,3,INBU,B,1
Shealy_1B_3B,1,3,PIWA,B,1
Shealy_1B_3B,1,3,NOCA,B,1
Shealy_1B_3B,1,3,WOTH,B,1
Shealy_1B_3B,1,3,SUTA,B,1
Shealy_1B_3B,1,3,TUTI,B,1
Shealy_1B_3B,1,3,EATO,B,1
Shealy_1B_3B,1,3,AMCR,B,1
Shealy_1B_3B,1,3,AMGO,B,1
Shealy_1B_3B,1,4,AMGO,B,1
Shealy_1B_3B,1,4,WOTH,B,1
Shealy_1B_3B,1,4,INBU,B,1
Shealy_1B_3B,1,4,AMCR,B,1
Shealy_1B_3B,1,4,PIWA,B,1
Shealy_1B_3B,1,4,EATO,B,1
Shealy_1B_3B,1,4,TUTI,B,1
Shealy_1B_3B,1,4,MODO,B,1
Shealy_1B_3B,1,4,NOCA,B,1
Shealy_1B_3B,1,4,YEWA,B,1
Shealy_0B_2,1,1,CAWR,B,1
Shealy_0B_2,1,1,PIWA,B,1
Shealy_0B_2,1,1,YBCH,B,1
Shealy_0B_2,1,1,AMCR,B,1
Shealy_0B_2,1,1,MODO,B,1
Shealy_0B_2,1,1,EATO,B,1
Shealy_0B_2,1,1,WITU,B,1
Shealy_0B_2,1,1,COYE,B,1
Shealy_0B_2,1,1,CHSP,B,1
Shealy_0B_2,1,1,BAWW,B,1
Shealy_0B_2,1,1,TUTI,B,1
Shealy_0B_2,1,1,EABL,B,1
Shealy_0B_2,1,1,NOCA,B,1
Shealy_0B_2,1,1,YBCU,B,1
Shealy_0B_2,1,1,BHCO,B,1
Shealy_0B_2,1,1,CACH,B,1
Shealy_0B_2,1,2,NOCA,B,1
Shealy_0B_2,1,2,YBCH,B,1
Shealy_0B_2,1,2,PIWA,B,1
Shealy_0B_2,1,2,MODO,B,1
Shealy_0B_2,1,2,TUTI,B,1
Shealy_0B_2,1,2,BHCO,B,1
Shealy_0B_2,1,2,BLJA,B,1
Shealy_0B_2,1,2,YBCU,B,1
Shealy_0B_2,1,2,CACH,B,1
Shealy_0B_2,1,2,AMCR,B,1
Shealy_0B_2,1,2,EATO,B,1
Shealy_0B_2,1,3,PIWA,B,1
Shealy_0B_2,1,3,NOCA,B,1
Shealy_0B_2,1,3,EATO,B,1
Shealy_0B_2,1,3,CACH,B,1
Shealy_0B_2,1,3,TUTI,B,1
Shealy_0B_2,1,3,YBCH,B,1
Shealy_0B_2,1,3,BLJA,B,1
Shealy_0B_2,1,3,CAWR,B,1
Shealy_0B_2,1,3,AMCR,B,1
Shealy_0B_2,1,3,CHSP,B,1
Shealy_0B_2,1,3,MODO,B,1
Shealy_0B_2,1,3,COYE,B,1
Shealy_0B_2,1,3,PRWA,B,1
Shealy_0B_2,1,4,EATO,B,1
Shealy_0B_2,1,4,YBCH,B,1
Shealy_0B_2,1,4,TUTI,B,1
Shealy_0B_2,1,4,AMCR,B,1
Shealy_0B_2,1,4,MODO,B,1
Shealy_0B_2,1,4,COYE,B,1
Shealy_0B_2,1,4,PIWA,B,1
Shealy_0B_2,1,4,AMGO,B,1
Shealy_0B_2,1,4,EABL,B,1
Shealy_0B_2,1,4,PRWA,B,1
Hudson_2B_7,1,1,CAWR,B,1
Hudson_2B_7,1,1,EATO,B,1
Hudson_2B_7,1,1,YBCH,B,1
Hudson_2B_7,1,1,FISP,B,1
Hudson_2B_7,1,1,ACFL,B,1
Hudson_2B_7,1,1,AMCR,B,1
Hudson_2B_7,1,1,MODO,B,1
Hudson_2B_7,1,1,PRWA,B,1
Hudson_2B_7,1,1,PIWO,B,1
Hudson_2B_7,1,1,INBU,B,1
Hudson_2B_7,1,1,BHNU,B,1
Hudson_2B_7,1,1,BAWW,B,1
Hudson_2B_7,1,1,WHIP,B,1
Hudson_2B_7,1,2,PRWA,B,1
Hudson_2B_7,1,2,CAWR,B,1
Hudson_2B_7,1,2,EATO,B,1
Hudson_2B_7,1,2,MODO,B,1
Hudson_2B_7,1,2,WHIP,B,1
Hudson_2B_7,1,2,ACFL,B,1
Hudson_2B_7,1,2,YBCH,B,1
Hudson_2B_7,1,2,AMCR,B,1
Hudson_2B_7,1,2,BAWW,B,1
Hudson_2B_7,1,3,TUTI,B,1
Hudson_2B_7,1,3,EATO,B,1
Hudson_2B_7,1,3,YBCH,B,1
Hudson_2B_7,1,3,INBU,B,1
Hudson_2B_7,1,3,MODO,B,1
Hudson_2B_7,1,3,CAWR,B,1
Hudson_2B_7,1,3,BAWW,B,1
Hudson_2B_7,1,3,AMCR,B,1
Hudson_2B_7,1,3,SUTA,B,1
Hudson_2B_7,1,4,CAWR,B,1
Hudson_2B_7,1,4,TUTI,B,1
Hudson_2B_7,1,4,EATO,B,1
Hudson_2B_7,1,4,AMCR,B,1
Hudson_2B_7,1,4,MODO,B,1
Hudson_2B_7,1,4,PRWA,B,1
Hudson_2B_7,1,4,BHNU,B,1
